259 of 3321 | time used: 65.3
261 of 3321 | time used: 64.8
258 of 3321 | time used: 74.4
260 of 3321 | time used: 75.3
262 of 3321 | time used: 86
264 of 3321 | time used: 77.1
263 of 3321 | time used: 97.8
267 of 3321 | time used: 77.9
265 of 3321 | time used: 85
266 of 3321 | time used: 86.5
269 of 3321 | time used: 78
268 of 3321 | time used: 86.9
270 of 3321 | time used: 75
271 of 3321 | time used: 73.8
272 of 3321 | time used: 74.2
273 of 3321 | time used: 73.3
274 of 3321 | time used: 88.2
275 of 3321 | time used: 90
276 of 3321 | time used: 84.1
277 of 3321 | time used: 83
278 of 3321 | time used: 81.6
279 of 3321 | time used: 79.7
280 of 3321 | time used: 66
281 of 3321 | time used: 82.3
285 of 3321 | time used: 75.2
282 of 3321 | time used: 85.8
284 of 3321 | time used: 81.6
283 of 3321 | time used: 89.4
288 of 3321 | time used: 74.8
286 of 3321 | time used: 87.8
287 of 3321 | time used: 86.6
290 of 3321 | time used: 73
289 of 3321 | time used: 89.3
291 of 3321 | time used: 73
293 of 3321 | time used: 83.7
292 of 3321 | time used: 96.4
295 of 3321 | time used: 65.6
296 of 3321 | time used: 65.2
294 of 3321 | time used: 77
297 of 3321 | time used: 62
298 of 3321 | time used: 67.9
299 of 3321 | time used: 69.9
300 of 3321 | time used: 78.4
302 of 3321 | time used: 74
301 of 3321 | time used: 83.8
303 of 3321 | time used: 75.2
304 of 3321 | time used: 79.9
306 of 3321 | time used: 72
307 of 3321 | time used: 72.1
305 of 3321 | time used: 92.3
309 of 3321 | time used: 73.4
308 of 3321 | time used: 80.2
310 of 3321 | time used: 75.6
311 of 3321 | time used: 74.4
312 of 3321 | time used: 77.7
313 of 3321 | time used: 79.9
314 of 3321 | time used: 88.6
315 of 3321 | time used: 81.8
316 of 3321 | time used: 72.4
319 of 3321 | time used: 87.2
317 of 3321 | time used: 98.3
320 of 3321 | time used: 84.4
318 of 3321 | time used: 97.7
321 of 3321 | time used: 66.3
323 of 3321 | time used: 80.7
322 of 3321 | time used: 83.4
324 of 3321 | time used: 76.3
328 of 3321 | time used: 64.1
325 of 3321 | time used: 77.5
326 of 3321 | time used: 87.4
329 of 3321 | time used: 87.8
330 of 3321 | time used: 60.3
327 of 3321 | time used: 100.1
332 of 3321 | time used: 70.4
331 of 3321 | time used: 94
333 of 3321 | time used: 68.3
336 of 3321 | time used: 66
334 of 3321 | time used: 92.9
338 of 3321 | time used: 66.8
335 of 3321 | time used: 84.2
337 of 3321 | time used: 76.9
339 of 3321 | time used: 79.8
340 of 3321 | time used: 83.3
342 of 3321 | time used: 80
341 of 3321 | time used: 105.4
345 of 3321 | time used: 77
343 of 3321 | time used: 87.7
344 of 3321 | time used: 91.5
347 of 3321 | time used: 66
346 of 3321 | time used: 97
348 of 3321 | time used: 80.4
349 of 3321 | time used: 76
351 of 3321 | time used: 77.4
350 of 3321 | time used: 86
352 of 3321 | time used: 89
353 of 3321 | time used: 89.3
354 of 3321 | time used: 89.3
355 of 3321 | time used: 94.4
356 of 3321 | time used: 81.5
357 of 3321 | time used: 72.7
358 of 3321 | time used: 64.9
359 of 3321 | time used: 86.9
361 of 3321 | time used: 67.5
360 of 3321 | time used: 80.6
362 of 3321 | time used: 71.9
363 of 3321 | time used: 78.9
364 of 3321 | time used: 81.4
365 of 3321 | time used: 73.2
366 of 3321 | time used: 75.8
367 of 3321 | time used: 83.7
369 of 3321 | time used: 79.4
368 of 3321 | time used: 87.3
371 of 3321 | time used: 71.8
370 of 3321 | time used: 97.8
372 of 3321 | time used: 79.1
374 of 3321 | time used: 76.8
373 of 3321 | time used: 86.1
375 of 3321 | time used: 74.7
377 of 3321 | time used: 81.4
378 of 3321 | time used: 75.4
376 of 3321 | time used: 101.4
379 of 3321 | time used: 83.9
380 of 3321 | time used: 89.8
381 of 3321 | time used: 89.5
382 of 3321 | time used: 86.5
383 of 3321 | time used: 77.2
385 of 3321 | time used: 64.5
386 of 3321 | time used: 79.7
387 of 3321 | time used: 82.4
384 of 3321 | time used: 108.8
389 of 3321 | time used: 65.5
388 of 3321 | time used: 80.9
390 of 3321 | time used: 74.2
391 of 3321 | time used: 64.4
392 of 3321 | time used: 82.4
395 of 3321 | time used: 77
396 of 3321 | time used: 80.5
394 of 3321 | time used: 87.6
393 of 3321 | time used: 99
397 of 3321 | time used: 78.6
398 of 3321 | time used: 77
399 of 3321 | time used: 76.3
400 of 3321 | time used: 65.7
401 of 3321 | time used: 75.9
404 of 3321 | time used: 68.8
405 of 3321 | time used: 72.3
406 of 3321 | time used: 79.5
407 of 3321 | time used: 76.5
402 of 3321 | time used: 89.8
403 of 3321 | time used: 95.2
408 of 3321 | time used: 77.1
413 of 3321 | time used: 58.6
409 of 3321 | time used: 78.6
412 of 3321 | time used: 64.5
415 of 3321 | time used: 64.8
411 of 3321 | time used: 86.7
414 of 3321 | time used: 76.8
410 of 3321 | time used: 97.8
416 of 3321 | time used: 82
417 of 3321 | time used: 76.2
419 of 3321 | time used: 77.3
418 of 3321 | time used: 80.2
422 of 3321 | time used: 71
420 of 3321 | time used: 87.2
423 of 3321 | time used: 78.3
421 of 3321 | time used: 85
424 of 3321 | time used: 88.4
425 of 3321 | time used: 81.4
426 of 3321 | time used: 80.7
431 of 3321 | time used: 60.1
430 of 3321 | time used: 67.1
427 of 3321 | time used: 96.1
429 of 3321 | time used: 92.5
428 of 3321 | time used: 103.4
432 of 3321 | time used: 78.6
433 of 3321 | time used: 58.2
434 of 3321 | time used: 66.1
436 of 3321 | time used: 69
437 of 3321 | time used: 62
435 of 3321 | time used: 77.8
438 of 3321 | time used: 76.3
440 of 3321 | time used: 83.6
439 of 3321 | time used: 95.3
442 of 3321 | time used: 71.3
441 of 3321 | time used: 86.6
444 of 3321 | time used: 66.8
443 of 3321 | time used: 67.1
445 of 3321 | time used: 71.8
446 of 3321 | time used: 82.8
452 of 3321 | time used: 65.2
447 of 3321 | time used: 89.8
451 of 3321 | time used: 74.2
450 of 3321 | time used: 77.5
449 of 3321 | time used: 81.7
448 of 3321 | time used: 92.6
453 of 3321 | time used: 73.7
454 of 3321 | time used: 75.2
456 of 3321 | time used: 73
455 of 3321 | time used: 80.5
460 of 3321 | time used: 71.2
458 of 3321 | time used: 75.1
457 of 3321 | time used: 83.9
459 of 3321 | time used: 86.5
461 of 3321 | time used: 92
462 of 3321 | time used: 83.5
465 of 3321 | time used: 68.9
464 of 3321 | time used: 71.5
463 of 3321 | time used: 79.1
467 of 3321 | time used: 71.1
468 of 3321 | time used: 71.6
469 of 3321 | time used: 61.3
466 of 3321 | time used: 87.9
471 of 3321 | time used: 74.1
475 of 3321 | time used: 64.5
470 of 3321 | time used: 94.3
474 of 3321 | time used: 70.3
473 of 3321 | time used: 88.8
476 of 3321 | time used: 81.7
472 of 3321 | time used: 106.9
477 of 3321 | time used: 93.6
478 of 3321 | time used: 83.8
479 of 3321 | time used: 82.6
482 of 3321 | time used: 73.9
484 of 3321 | time used: 62.1
481 of 3321 | time used: 91.4
483 of 3321 | time used: 76.5
480 of 3321 | time used: 99.5
485 of 3321 | time used: 85.2
486 of 3321 | time used: 72.3
488 of 3321 | time used: 62.2
492 of 3321 | time used: 68
487 of 3321 | time used: 88.9
491 of 3321 | time used: 85.6
489 of 3321 | time used: 100.4
493 of 3321 | time used: 71.7
490 of 3321 | time used: 98.4
495 of 3321 | time used: 77.1
494 of 3321 | time used: 85.6
496 of 3321 | time used: 92
499 of 3321 | time used: 73.5
497 of 3321 | time used: 94.6
501 of 3321 | time used: 78.9
498 of 3321 | time used: 91.7
500 of 3321 | time used: 86.2
502 of 3321 | time used: 75.5
503 of 3321 | time used: 77
504 of 3321 | time used: 67.6
507 of 3321 | time used: 76
506 of 3321 | time used: 81.3
508 of 3321 | time used: 76.8
505 of 3321 | time used: 94.4
509 of 3321 | time used: 97.2
510 of 3321 | time used: 88.2
512 of 3321 | time used: 75.1
511 of 3321 | time used: 95
513 of 3321 | time used: 75.3
515 of 3321 | time used: 77.1
514 of 3321 | time used: 84.2
517 of 3321 | time used: 74.1
516 of 3321 | time used: 91.2
518 of 3321 | time used: 63.7
519 of 3321 | time used: 69.9
522 of 3321 | time used: 69.6
520 of 3321 | time used: 91.5
521 of 3321 | time used: 77.4
524 of 3321 | time used: 72.6
525 of 3321 | time used: 81.5
523 of 3321 | time used: 101.5
526 of 3321 | time used: 81.6
527 of 3321 | time used: 90.2
530 of 3321 | time used: 80.4
531 of 3321 | time used: 64.8
529 of 3321 | time used: 88.8
528 of 3321 | time used: 92.9
534 of 3321 | time used: 79.8
533 of 3321 | time used: 87.5
532 of 3321 | time used: 99.5
535 of 3321 | time used: 81
537 of 3321 | time used: 83.4
536 of 3321 | time used: 89.2
538 of 3321 | time used: 86.8
539 of 3321 | time used: 88.7
540 of 3321 | time used: 86.3
541 of 3321 | time used: 92.5
542 of 3321 | time used: 94.4
543 of 3321 | time used: 87.4
545 of 3321 | time used: 64.8
546 of 3321 | time used: 83.1
544 of 3321 | time used: 89.1
547 of 3321 | time used: 87.1
548 of 3321 | time used: 89
549 of 3321 | time used: 86.8
551 of 3321 | time used: 68.4
550 of 3321 | time used: 82.6
552 of 3321 | time used: 79.8
554 of 3321 | time used: 67.9
555 of 3321 | time used: 67.7
553 of 3321 | time used: 78.8
559 of 3321 | time used: 58.5
558 of 3321 | time used: 65.4
557 of 3321 | time used: 79.3
556 of 3321 | time used: 90.1
560 of 3321 | time used: 84
561 of 3321 | time used: 80.9
563 of 3321 | time used: 74.4
562 of 3321 | time used: 80.5
564 of 3321 | time used: 62.3
566 of 3321 | time used: 65.6
565 of 3321 | time used: 90.6
567 of 3321 | time used: 78.5
570 of 3321 | time used: 65.4
572 of 3321 | time used: 61
568 of 3321 | time used: 90.9
571 of 3321 | time used: 93.9
569 of 3321 | time used: 101.7
573 of 3321 | time used: 79.8
575 of 3321 | time used: 65.4
574 of 3321 | time used: 86.5
578 of 3321 | time used: 62.9
576 of 3321 | time used: 81.4
577 of 3321 | time used: 71
579 of 3321 | time used: 75.5
580 of 3321 | time used: 80.1
582 of 3321 | time used: 80.3
584 of 3321 | time used: 59
583 of 3321 | time used: 72.3
581 of 3321 | time used: 103
585 of 3321 | time used: 88.9
586 of 3321 | time used: 93.8
588 of 3321 | time used: 73.1
587 of 3321 | time used: 88
590 of 3321 | time used: 75.2
591 of 3321 | time used: 78.1
589 of 3321 | time used: 89.9
592 of 3321 | time used: 73.1
593 of 3321 | time used: 64.9
594 of 3321 | time used: 91.9
595 of 3321 | time used: 87.7
599 of 3321 | time used: 60.3
596 of 3321 | time used: 93.6
600 of 3321 | time used: 68.5
598 of 3321 | time used: 78.1
597 of 3321 | time used: 85.1
601 of 3321 | time used: 88.8
603 of 3321 | time used: 65.8
602 of 3321 | time used: 79.6
605 of 3321 | time used: 62.4
604 of 3321 | time used: 72
606 of 3321 | time used: 66
607 of 3321 | time used: 71.6
608 of 3321 | time used: 92.3
609 of 3321 | time used: 89
612 of 3321 | time used: 67.5
610 of 3321 | time used: 87.8
611 of 3321 | time used: 78.3
614 of 3321 | time used: 72.3
615 of 3321 | time used: 73.9
613 of 3321 | time used: 100.8
616 of 3321 | time used: 70.6
618 of 3321 | time used: 76.4
619 of 3321 | time used: 69.5
617 of 3321 | time used: 86.5
621 of 3321 | time used: 69.3
620 of 3321 | time used: 81.2
624 of 3321 | time used: 67.2
623 of 3321 | time used: 83.9
622 of 3321 | time used: 100
625 of 3321 | time used: 74
629 of 3321 | time used: 76.8
628 of 3321 | time used: 90.3
627 of 3321 | time used: 93.9
626 of 3321 | time used: 96.2
630 of 3321 | time used: 94.8
631 of 3321 | time used: 94.9
632 of 3321 | time used: 94.3
633 of 3321 | time used: 75.3
637 of 3321 | time used: 70.1
635 of 3321 | time used: 76.9
634 of 3321 | time used: 93.7
636 of 3321 | time used: 87.6
638 of 3321 | time used: 81.7
639 of 3321 | time used: 72.4
641 of 3321 | time used: 84.6
640 of 3321 | time used: 105.1
642 of 3321 | time used: 84.8
644 of 3321 | time used: 78.8
643 of 3321 | time used: 90.8
645 of 3321 | time used: 80.5
647 of 3321 | time used: 83.8
646 of 3321 | time used: 87.8
648 of 3321 | time used: 86.6
649 of 3321 | time used: 82.2
650 of 3321 | time used: 92
651 of 3321 | time used: 84.7
652 of 3321 | time used: 85.4
653 of 3321 | time used: 92.3
654 of 3321 | time used: 82.8
655 of 3321 | time used: 85.7
657 of 3321 | time used: 79.4
656 of 3321 | time used: 98.9
660 of 3321 | time used: 77.3
659 of 3321 | time used: 79.9
658 of 3321 | time used: 85
661 of 3321 | time used: 84.5
663 of 3321 | time used: 65.1
662 of 3321 | time used: 83.9
664 of 3321 | time used: 72.9
666 of 3321 | time used: 78.3
667 of 3321 | time used: 80
665 of 3321 | time used: 92.3
668 of 3321 | time used: 87.2
671 of 3321 | time used: 67.2
670 of 3321 | time used: 82.4
669 of 3321 | time used: 97.6
672 of 3321 | time used: 78
673 of 3321 | time used: 75.1
674 of 3321 | time used: 83.5
678 of 3321 | time used: 73.2
675 of 3321 | time used: 93.6
677 of 3321 | time used: 81.9
676 of 3321 | time used: 96.7
679 of 3321 | time used: 81.8
680 of 3321 | time used: 89.2
682 of 3321 | time used: 77
681 of 3321 | time used: 91.2
684 of 3321 | time used: 81.8
683 of 3321 | time used: 88.8
686 of 3321 | time used: 80.2
685 of 3321 | time used: 88.6
687 of 3321 | time used: 84
688 of 3321 | time used: 88.7
689 of 3321 | time used: 68.6
690 of 3321 | time used: 68.5
692 of 3321 | time used: 69.2
694 of 3321 | time used: 75.8
693 of 3321 | time used: 83.8
695 of 3321 | time used: 75.6
691 of 3321 | time used: 96
696 of 3321 | time used: 61.5
697 of 3321 | time used: 84.6
698 of 3321 | time used: 82.5
699 of 3321 | time used: 70.1
703 of 3321 | time used: 62.5
702 of 3321 | time used: 74.5
700 of 3321 | time used: 83.8
701 of 3321 | time used: 87.6
704 of 3321 | time used: 92.8
706 of 3321 | time used: 78.1
707 of 3321 | time used: 71.4
705 of 3321 | time used: 94.8
708 of 3321 | time used: 72.9
709 of 3321 | time used: 64.4
710 of 3321 | time used: 80.1
711 of 3321 | time used: 74.5
714 of 3321 | time used: 78.1
713 of 3321 | time used: 80.4
712 of 3321 | time used: 94.1
717 of 3321 | time used: 71.9
715 of 3321 | time used: 79.9
716 of 3321 | time used: 80.4
718 of 3321 | time used: 68.1
719 of 3321 | time used: 75.6
720 of 3321 | time used: 74.6
722 of 3321 | time used: 71.9
724 of 3321 | time used: 68.8
721 of 3321 | time used: 87.1
725 of 3321 | time used: 72.8
723 of 3321 | time used: 89.3
726 of 3321 | time used: 81.4
727 of 3321 | time used: 98.7
729 of 3321 | time used: 76.6
728 of 3321 | time used: 83.6
731 of 3321 | time used: 79.3
732 of 3321 | time used: 80.5
730 of 3321 | time used: 88
733 of 3321 | time used: 77.6
734 of 3321 | time used: 80.3
735 of 3321 | time used: 95.3
736 of 3321 | time used: 90.6
738 of 3321 | time used: 75.6
739 of 3321 | time used: 79.3
740 of 3321 | time used: 83
737 of 3321 | time used: 101.9
742 of 3321 | time used: 75.2
741 of 3321 | time used: 93.2
743 of 3321 | time used: 71.4
745 of 3321 | time used: 69.3
744 of 3321 | time used: 74.2
748 of 3321 | time used: 61.2
746 of 3321 | time used: 82.9
747 of 3321 | time used: 81.8
750 of 3321 | time used: 72.2
749 of 3321 | time used: 93.9
751 of 3321 | time used: 86.4
752 of 3321 | time used: 76.1
753 of 3321 | time used: 89.1
755 of 3321 | time used: 80.4
757 of 3321 | time used: 73.9
754 of 3321 | time used: 99.5
756 of 3321 | time used: 98.4
758 of 3321 | time used: 88.6
759 of 3321 | time used: 84.3
760 of 3321 | time used: 94
761 of 3321 | time used: 80.6
764 of 3321 | time used: 73.4
762 of 3321 | time used: 84.4
766 of 3321 | time used: 65.6
763 of 3321 | time used: 96.8
765 of 3321 | time used: 95.9
768 of 3321 | time used: 81.9
767 of 3321 | time used: 93.2
771 of 3321 | time used: 72.3
770 of 3321 | time used: 79.6
769 of 3321 | time used: 97.3
773 of 3321 | time used: 82.8
772 of 3321 | time used: 86.8
774 of 3321 | time used: 77.7
777 of 3321 | time used: 64.7
776 of 3321 | time used: 76.7
775 of 3321 | time used: 87.8
779 of 3321 | time used: 70.1
778 of 3321 | time used: 86.2
780 of 3321 | time used: 78.9
782 of 3321 | time used: 79.2
781 of 3321 | time used: 93.2
783 of 3321 | time used: 79.3
786 of 3321 | time used: 66.3
784 of 3321 | time used: 89
785 of 3321 | time used: 79.6
787 of 3321 | time used: 80.6
789 of 3321 | time used: 76.5
788 of 3321 | time used: 91
790 of 3321 | time used: 89
792 of 3321 | time used: 82.1
791 of 3321 | time used: 94.2
794 of 3321 | time used: 79.9
793 of 3321 | time used: 93.4
795 of 3321 | time used: 85.3
796 of 3321 | time used: 66.7
797 of 3321 | time used: 73.5
798 of 3321 | time used: 81.5
799 of 3321 | time used: 82.6
